 * training Accuracy,output1: 37.753 * Accuracy,output2: 37.753
 * vail Accuracy,output1: 39.691 * vail  Accuracy,output2: 39.691
 * training Accuracy,output1: 51.157 * Accuracy,output2: 51.157
 * vail Accuracy,output1: 43.814 * vail  Accuracy,output2: 43.814
 * training Accuracy,output1: 54.836 * Accuracy,output2: 54.836
 * vail Accuracy,output1: 51.031 * vail  Accuracy,output2: 51.031
 * training Accuracy,output1: 56.346 * Accuracy,output2: 56.346
 * vail Accuracy,output1: 42.698 * vail  Accuracy,output2: 42.698
 * training Accuracy,output1: 57.441 * Accuracy,output2: 57.441
 * vail Accuracy,output1: 47.738 * vail  Accuracy,output2: 47.738
 * training Accuracy,output1: 57.817 * Accuracy,output2: 57.817
 * vail Accuracy,output1: 52.176 * vail  Accuracy,output2: 52.176
 * training Accuracy,output1: 58.203 * Accuracy,output2: 58.203
 * vail Accuracy,output1: 48.368 * vail  Accuracy,output2: 48.368
 * training Accuracy,output1: 58.480 * Accuracy,output2: 58.480
 * vail Accuracy,output1: 48.969 * vail  Accuracy,output2: 48.969
 * training Accuracy,output1: 58.709 * Accuracy,output2: 58.709
 * vail Accuracy,output1: 46.735 * vail  Accuracy,output2: 46.735
 * training Accuracy,output1: 58.878 * Accuracy,output2: 58.878
 * vail Accuracy,output1: 51.460 * vail  Accuracy,output2: 51.460
 * training Accuracy,output1: 59.009 * Accuracy,output2: 59.009
 * vail Accuracy,output1: 49.255 * vail  Accuracy,output2: 49.255
 * training Accuracy,output1: 59.241 * Accuracy,output2: 59.241
 * vail Accuracy,output1: 51.031 * vail  Accuracy,output2: 51.031
 * training Accuracy,output1: 59.112 * Accuracy,output2: 59.112
 * vail Accuracy,output1: 48.711 * vail  Accuracy,output2: 48.711
 * training Accuracy,output1: 59.468 * Accuracy,output2: 59.468
 * vail Accuracy,output1: 53.666 * vail  Accuracy,output2: 53.666
 * training Accuracy,output1: 59.583 * Accuracy,output2: 59.583
 * vail Accuracy,output1: 45.304 * vail  Accuracy,output2: 45.304
 * training Accuracy,output1: 59.809 * Accuracy,output2: 59.809
 * vail Accuracy,output1: 50.315 * vail  Accuracy,output2: 50.315
 * training Accuracy,output1: 59.880 * Accuracy,output2: 59.880
 * vail Accuracy,output1: 52.434 * vail  Accuracy,output2: 52.434
 * training Accuracy,output1: 59.902 * Accuracy,output2: 59.902
 * vail Accuracy,output1: 51.031 * vail  Accuracy,output2: 51.031
 * training Accuracy,output1: 59.942 * Accuracy,output2: 59.942
 * vail Accuracy,output1: 54.124 * vail  Accuracy,output2: 54.124
 * training Accuracy,output1: 60.079 * Accuracy,output2: 60.079
