 * training Accuracy,output1: 99.745 * Accuracy,output2: 99.778
 * vail Accuracy,output1: 87.133 * vail  Accuracy,output2: 88.024
 * training Accuracy,output1: 99.671 * Accuracy,output2: 99.754
 * vail Accuracy,output1: 87.232 * vail  Accuracy,output2: 88.189
 * training Accuracy,output1: 99.671 * Accuracy,output2: 99.745
 * vail Accuracy,output1: 86.671 * vail  Accuracy,output2: 88.387
 * training Accuracy,output1: 99.647 * Accuracy,output2: 99.770
 * vail Accuracy,output1: 86.935 * vail  Accuracy,output2: 88.552
 * training Accuracy,output1: 99.639 * Accuracy,output2: 99.713
 * vail Accuracy,output1: 87.463 * vail  Accuracy,output2: 87.958
 * training Accuracy,output1: 99.754 * Accuracy,output2: 99.811
 * vail Accuracy,output1: 87.595 * vail  Accuracy,output2: 88.321
 * training Accuracy,output1: 99.721 * Accuracy,output2: 99.770
 * vail Accuracy,output1: 87.199 * vail  Accuracy,output2: 87.628
 * training Accuracy,output1: 99.696 * Accuracy,output2: 99.770
 * vail Accuracy,output1: 87.760 * vail  Accuracy,output2: 88.354
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.811
 * vail Accuracy,output1: 87.727 * vail  Accuracy,output2: 88.354
 * training Accuracy,output1: 99.680 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.100 * vail  Accuracy,output2: 87.529
 * training Accuracy,output1: 99.737 * Accuracy,output2: 99.828
 * vail Accuracy,output1: 87.496 * vail  Accuracy,output2: 88.585
 * training Accuracy,output1: 99.680 * Accuracy,output2: 99.828
 * vail Accuracy,output1: 87.232 * vail  Accuracy,output2: 87.991
 * training Accuracy,output1: 99.680 * Accuracy,output2: 99.819
 * vail Accuracy,output1: 87.529 * vail  Accuracy,output2: 88.255
 * training Accuracy,output1: 99.688 * Accuracy,output2: 99.770
 * vail Accuracy,output1: 87.364 * vail  Accuracy,output2: 88.882
 * training Accuracy,output1: 99.770 * Accuracy,output2: 99.811
 * vail Accuracy,output1: 87.496 * vail  Accuracy,output2: 88.321
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.786
