 * training Accuracy,output1: 72.837 * Accuracy,output2: 75.198
 * vail Accuracy,output1: 62.882 * vail  Accuracy,output2: 63.397
 * training Accuracy,output1: 72.843 * Accuracy,output2: 75.213
 * vail Accuracy,output1: 62.739 * vail  Accuracy,output2: 63.111
 * training Accuracy,output1: 72.671 * Accuracy,output2: 75.178
 * vail Accuracy,output1: 62.567 * vail  Accuracy,output2: 63.025
 * training Accuracy,output1: 72.739 * Accuracy,output2: 75.247
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 72.754 * Accuracy,output2: 75.380
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.254
 * training Accuracy,output1: 72.803 * Accuracy,output2: 75.153
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.426
 * training Accuracy,output1: 72.752 * Accuracy,output2: 75.431
 * vail Accuracy,output1: 62.739 * vail  Accuracy,output2: 62.997
 * training Accuracy,output1: 72.985 * Accuracy,output2: 75.156
 * vail Accuracy,output1: 62.882 * vail  Accuracy,output2: 63.455
 * training Accuracy,output1: 72.951 * Accuracy,output2: 75.342
 * vail Accuracy,output1: 62.481 * vail  Accuracy,output2: 62.882
 * training Accuracy,output1: 72.929 * Accuracy,output2: 75.399
 * vail Accuracy,output1: 62.710 * vail  Accuracy,output2: 63.025
 * training Accuracy,output1: 72.874 * Accuracy,output2: 75.559
 * vail Accuracy,output1: 62.853 * vail  Accuracy,output2: 63.312
 * training Accuracy,output1: 73.211 * Accuracy,output2: 75.375
 * vail Accuracy,output1: 62.624 * vail  Accuracy,output2: 63.340
 * training Accuracy,output1: 72.874 * Accuracy,output2: 75.428
 * vail Accuracy,output1: 62.481 * vail  Accuracy,output2: 62.939
 * training Accuracy,output1: 73.177 * Accuracy,output2: 75.391
 * vail Accuracy,output1: 62.767 * vail  Accuracy,output2: 62.997
 * training Accuracy,output1: 73.002 * Accuracy,output2: 75.439
 * vail Accuracy,output1: 62.825 * vail  Accuracy,output2: 63.140
 * training Accuracy,output1: 73.171 * Accuracy,output2: 75.822
 * vail Accuracy,output1: 62.538 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 73.090 * Accuracy,output2: 75.665
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.111
 * training Accuracy,output1: 73.110 * Accuracy,output2: 75.615
 * vail Accuracy,output1: 62.596 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 73.113 * Accuracy,output2: 75.603
 * vail Accuracy,output1: 62.710 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.064 * Accuracy,output2: 75.482
 * vail Accuracy,output1: 62.853 * vail  Accuracy,output2: 63.340
 * training Accuracy,output1: 72.970 * Accuracy,output2: 75.657
 * vail Accuracy,output1: 62.767 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 73.167 * Accuracy,output2: 75.760
 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 72.977 * Accuracy,output2: 75.704
 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.226
 * training Accuracy,output1: 72.880 * Accuracy,output2: 75.583
 * vail Accuracy,output1: 62.796 * vail  Accuracy,output2: 63.426
 * training Accuracy,output1: 73.017 * Accuracy,output2: 75.654
